stock,run_pct,in_top200,mo_in200,mo_in500,held,captured_pct,capture_ratio,run_start
SIGIND,5996,False,0,13,False,0,0.0,2015-01-28
BCG,4991,False,0,8,False,0,0.0,2020-12-16
DUCON,1961,False,0,12,False,0,0.0,2014-08-01
VIVIDHA,1866,False,0,12,False,0,0.0,2014-05-23
HEG,1690,False,1,13,True,15,0.01,2016-12-29
GNFC,1598,False,0,12,False,0,0.0,2015-10-23
INTELLECT,1473,False,0,13,False,0,0.0,2020-03-26
ADANIGREEN,1304,True,7,12,True,66,0.05,2019-09-09
ATGL,1297,True,13,13,True,184,0.15,2020-03-31
ISFT,1230,False,0,13,False,0,0.0,2014-06-25
GRAPHITE,1092,False,3,13,True,74,0.07,2016-12-29
NIBL,1070,False,0,12,False,0,0.0,2014-03-21
POONAWALLA,1061,False,0,12,False,0,0.0,2020-06-04
TARIL,1034,False,0,8,False,0,0.0,2023-04-18
ADANIENT,1029,True,12,12,True,241,0.24,2020-06-03
CENTURYPLY,986,False,3,13,True,55,0.05,2014-02-26
COCHINSHIP,903,True,13,13,True,132,0.16,2023-06-30
PRINCEPIPE,873,False,0,12,False,0,0.0,2020-05-22
SAREGAMA,869,False,0,10,False,0,0.0,2020-05-29
KITEX,837,False,0,13,False,0,0.0,2014-03-27
NEULANDLAB,797,False,0,13,False,0,0.0,2020-03-30
UGARSUGAR,793,False,0,11,False,0,0.0,2015-07-16
BORORENEW,790,False,0,12,False,0,0.0,2020-03-25
BUTTERFLY,780,False,0,12,False,0,0.0,2020-05-22
ADANIENSOL,779,False,4,12,True,69,0.09,2020-06-04
IFBIND,769,False,0,13,False,0,0.0,2014-03-26
RAIN,741,True,8,12,True,254,0.34,2017-01-03
KINGFA,735,False,0,12,False,0,0.0,2014-03-04
RUSHIL,712,False,4,12,True,100,0.15,2015-06-03
FORCEMOT,685,False,0,12,False,0,0.0,2023-04-19
