Symbol,Company,Industry,Sector
3MINDIA,3M India Ltd.,SERVICES,Services
ACC,ACC Ltd.,CEMENT & CEMENT PRODUCTS,Cement
AIAENG,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
APLAPOLLO,APL Apollo Tubes Ltd.,METALS,Metals & Mining
AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,Financial Services
AARTIIND,Aarti Industries Ltd.,CHEMICALS,Chemicals
AAVAS,Aavas Financiers Ltd.,FINANCIAL SERVICES,Financial Services
ABBOTINDIA,Abbott India Ltd.,PHARMA,Healthcare
ADANIGREEN,Adani Green Energy Ltd.,ENERGY,Energy
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,Services
ADANIPOWER,Adani Power Ltd.,ENERGY,Energy
ADANIENT,Adani Enterprises Ltd.,SERVICES,Services
ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,Financial Services
ABFRL,Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,Consumer Goods
ADVENZYMES,Advanced Enzyme Tech Ltd.,CONSUMER GOODS,Consumer Goods
AEGISCHEM,Aegis Logistics Ltd.,ENERGY,Energy
AFFLE,Affle (India) Ltd.,IT,Information Technology
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,PHARMA,Healthcare
AKZOINDIA,Akzo Nobel India Ltd.,CONSUMER GOODS,Consumer Goods
APLLTD,Alembic Pharmaceuticals Ltd.,PHARMA,Healthcare
ALKEM,Alkem Laboratories Ltd.,PHARMA,Healthcare
AMARAJABAT,Amara Raja Batteries Ltd.,AUTOMOBILE,Automobile
AMBER,Amber Enterprises India Ltd.,CONSUMER GOODS,Consumer Goods
AMBUJACEM,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,Cement
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,Healthcare
APOLLOTYRE,Apollo Tyres Ltd.,AUTOMOBILE,Automobile
ASAHIINDIA,Asahi India Glass Ltd.,AUTOMOBILE,Automobile
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE,Automobile
ASHOKA,Ashoka Buildcon Ltd.,CONSTRUCTION,Construction
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,Consumer Goods
ASTERDM,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,Healthcare
ASTRAZEN,AstraZeneca Pharma India Ltd.,PHARMA,Healthcare
ASTRAL,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
ATUL,Atul Ltd.,CHEMICALS,Chemicals
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA,Healthcare
DMART,Avenue Supermarts Ltd.,CONSUMER GOODS,Consumer Goods
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,Financial Services
BASF,BASF India Ltd.,CHEMICALS,Chemicals
BEML,BEML Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
BSE,BSE Ltd.,FINANCIAL SERVICES,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,Automobile
BAJAJCON,Bajaj Consumer Care Ltd.,CONSUMER GOODS,Consumer Goods
BAJAJELEC,Bajaj Electricals Ltd.,CONSUMER GOODS,Consumer Goods
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,Financial Services
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,Financial Services
BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE,Automobile
BALMLAWRIE,Balmer Lawrie & Co. Ltd.,SERVICES,Services
BALRAMCHIN,Balrampur Chini Mills Ltd.,CONSUMER GOODS,Consumer Goods
BANDHANBNK,Bandhan Bank Ltd.,FINANCIAL SERVICES,Financial Services
BANKBARODA,Bank of Baroda,FINANCIAL SERVICES,Financial Services
BANKINDIA,Bank of India,FINANCIAL SERVICES,Financial Services
MAHABANK,Bank of Maharashtra,FINANCIAL SERVICES,Financial Services
BATAINDIA,Bata India Ltd.,CONSUMER GOODS,Consumer Goods
BAYERCROP,Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,Agri Chemicals
BERGEPAINT,Berger Paints India Ltd.,CONSUMER GOODS,Consumer Goods
BDL,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
BEL,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
BHARATFORG,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,Energy
BHARTIARTL,Bharti Airtel Ltd.,TELECOM,Telecom
BIOCON,Biocon Ltd.,PHARMA,Healthcare
BIRLACORPN,Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,Cement
BSOFT,Birlasoft Ltd.,IT,Information Technology
BLUEDART,Blue Dart Express Ltd.,SERVICES,Services
BLUESTARCO,Blue Star Ltd.,CONSUMER GOODS,Consumer Goods
BOSCHLTD,Bosch Ltd.,AUTOMOBILE,Automobile
BRIGADE,Brigade Enterprises Ltd.,CONSTRUCTION,Construction
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,Consumer Goods
CARERATING,CARE Ratings Ltd.,FINANCIAL SERVICES,Financial Services
CCL,CCL Products (I) Ltd.,CONSUMER GOODS,Consumer Goods
CESC,CESC Ltd.,ENERGY,Energy
