symbol,cohort,best_timeframe,best_variant,best_direction,best_exit_policy,best_n,best_mean_pct,best_win_rate,best_payoff,best_sharpe,robust_cells_count,promote
DLF,B,5min,t0.0030_ctxW_w0.0050_n0.0070_5min_vm2.0_l,long,T_NO,12,0.5565,100.0,999.0,4.6593,1776,False
HAL,B,15min,t0.0030_ctxW_OR_N_w0.0080_n0.0070_15min_off_s,short,T_R_TARGET_1.0R,10,0.7023,100.0,999.0,4.65637,696,False
APOLLOHOSP,B,10min,t0.0040_ctxW_OR_N_w0.0065_n0.0090_10min_vm1.5_l,long,T_NO,10,0.4915,100.0,999.0,3.34222,490,False
HDFCAMC,B,10min,t0.0040_ctxW_w0.0065_n0.0070_10min_vm1.5_s,short,T_STEP_TRAIL,11,0.7727,90.91,999.0,1.52986,641,False
ASHOKLEY,B,15min,t0.0030_ctxW_w0.0050_n0.0070_15min_vm2.0_s,short,T_NO,10,0.5863,80.0,999.0,1.31235,940,False
HDFCLIFE,B,15min,t0.0050_ctxW_OR_N_w0.0080_n0.0090_15min_off_s,short,T_STEP_TRAIL,15,0.6694,86.67,999.0,1.28342,352,True
BDL,B,5min,t0.0030_ctxW_w0.0050_n0.0070_5min_vm1.5_l,long,T_NO,14,1.4057,85.71,17.934,1.18776,945,False
HINDUNILVR,A,15min,t0.0040_ctxW_w0.0065_n0.0070_15min_vm1.5_s,short,T_NO,12,0.7744,83.33,999.0,1.1017,168,False
ADANIGREEN,B,15min,t0.0030_ctxW_OR_N_w0.0080_n0.0090_15min_off_s,short,T_NO,14,0.7514,85.71,18.507,1.04593,206,False
ITC,A,10min,t0.0030_ctxW_OR_N_w0.0080_n0.0090_10min_vm2.0_s,short,T_ATR_SL_0.3,18,0.5253,88.89,1.397,1.02692,296,True
IDFCFIRSTB,B,5min,t0.0030_ctxW_w0.0065_n0.0070_5min_off_l,long,T_R_TARGET_1.0R,18,0.709,88.89,2.42,1.00049,1680,True
CHENNPETRO,B,5min,t0.0040_ctxW_w0.0050_n0.0070_5min_vm1.5_s,short,T_NO,10,1.0465,80.0,3.285,0.98127,439,False
ASIANPAINT,B,5min,t0.0030_ctxW_w0.0065_n0.0070_5min_off_s,short,T_NO,10,0.6494,80.0,27.675,0.96468,266,False
HCLTECH,B,10min,t0.0040_ctxW_OR_N_w0.0065_n0.0090_10min_vm1.5_s,short,T_NO,12,0.4336,83.33,82.784,0.96161,400,False
