assets,signal,horizon,window,n_obs,ic_mean,ic_t,ic_hit,top_ann,mid_ann,bot_ann,spread_ann,monotone,draw
SHUF0,ABSMOM63,1m,full,232,0.0228,1.31,52.2,24.98,21.93,23.32,1.66,False,0
SHUF0,ABSMOM63,3m,full,230,0.0542,3.02,56.1,25.99,23.34,23.61,2.38,False,0
SHUF0,ABSMOM126,1m,full,229,0.0313,1.7,57.2,24.74,22.22,21.85,2.89,True,0
SHUF0,ABSMOM126,3m,full,227,0.0477,2.51,57.7,25.25,23.83,23.22,2.04,True,0
SHUF0,ABSMOM252,1m,full,223,0.017,0.88,54.7,23.19,22.0,22.58,0.62,False,0
SHUF0,ABSMOM252,3m,full,221,0.0042,0.22,52.5,23.94,24.16,24.15,-0.21,False,0
SHUF0,MOMSKIP126,1m,full,229,0.0382,2.19,55.5,24.86,22.03,22.04,2.82,False,0
SHUF0,MOMSKIP126,3m,full,227,0.0398,2.2,53.3,25.45,23.49,23.45,2.0,True,0
SHUF0,RISKADJ63,1m,full,232,0.0279,1.59,52.2,24.92,22.81,22.49,2.43,True,0
SHUF0,RISKADJ63,3m,full,230,0.0638,3.68,57.8,26.12,23.58,23.26,2.85,True,0
SHUF0,RISKADJ126,1m,full,229,0.0373,2.07,56.8,24.65,21.75,22.46,2.19,False,0
SHUF0,RISKADJ126,3m,full,227,0.0613,3.26,58.1,25.31,23.87,23.08,2.24,True,0
SHUF0,MADIST200,1m,full,231,0.023,1.22,54.1,24.56,21.82,23.05,1.51,False,0
SHUF0,MADIST200,3m,full,229,0.0429,2.29,58.1,25.45,23.74,23.34,2.11,True,0
SHUF0,ACCEL,1m,full,223,-0.0012,-0.06,47.5,23.55,20.55,23.89,-0.34,False,0
SHUF0,ACCEL,3m,full,221,0.0303,1.58,54.8,25.07,22.55,24.79,0.27,False,0
SHUF1,ABSMOM63,1m,full,232,0.0172,0.89,53.9,23.98,21.87,23.17,0.81,False,1
